slug,name
belize,Belize
bv-islands,BV.Islands
cayman-islands,"Cayman Islands"
commonwealth-of-dominic,"Commonwealth of Dominic"
deutschland,Deutschland
finnland,Finnland
frankreich,Frankreich
grossbritannien,Großbritannien
hongkong,HongKong
indien,Indien
irland,Irland
israel,Israel
kanada,Kanada
niederlande,Niederlande
nord-zypern,Nord-Zypern
panama,Panama
rumaenien,Rumänien
russland,Russland
san-marino,"San Marino"
schweden,Schweden
schweiz,Schweiz
seychellen,Seychellen
tschechien,Tschechien
usa,USA
zypern,Zypern
