slug,name
afganistan,Afganistan
afrika,Afrika
aegypten,Ägypten
albanien,Albanien
algerien,Algerien
andorra-europa,Andorra
angola,Angola
anguilla,Anguilla
antigua-und-barbuda,"Antigua und Barbuda"
aequatorial-guinea,"Äquatorial Guinea"
argentinien,Argentinien
armenien,Armenien
aruba,Aruba
aserbaidschan,Aserbaidschan
asien,Asien
aethiopien,Äthiopien
australien,Australien
bahamas,Bahamas
bahrain,Bahrain
bangladesh,Bangladesh
barbados,Barbados
belarus,Belarus
belgien,Belgien
belize,Belize
benin,Benin
bermuda,Bermuda
bolivien,Bolivien
bosnien,Bosnien
botswana,Botswana
brasilien,Brasilien
britische-jungferninseln,"Britische Jungferninseln"
brunei,Brunei
buhtan,Buhtan
bulgrarien,Bulgarien
burkina-faso,"Burkina Faso"
burundi,Burundi
cameroon,Cameroon
cap-verde,"Cap Verde"
cayman-inseln,"Cayman Inseln"
chile,Chile
china,China
comoros,Comoros
cook-inseln,"Cook Inseln"
costa-rica,"Costa Rica"
cote-divoire,"Cote d`Ivoire"
daenemark,Dänemark
deutschland,Deutschland
dominikanische-republik,"Dominikanische Republik"
ecuador,Ecuador
el-salvador,"El Salvador"
eritrea,Eritrea
estland,Estland
europa,Europa
falkland-inseln,"Falkland Inseln"
faroer-inseln,"Farör Inseln"
fiji-inseln,"Fiji Inseln"
finnland,Finnland
frankreich,Frankreich
gabon,Gabon
gerorgien,Georgien
ghana,Ghana
gibraltar,Gibraltar
grenada,Grenada
griechenland,Griechenland
groenland,Grönland
grossbritannien,Großbritannien
guadeloupe,Guadeloupe
guam,Guam
guatemala,Guatemala
guinea,Guinea
guyana,Guyana
haiti,Haiti
honduras,Honduras
hong-kong,"Hong Kong"
indien,Indien
indonesien,Indonesien
irak,Irak
iran,Iran
irland,Irland
island,Island
israel,Israel
italien,Italien
jamaika,Jamaika
japan,Japan
jemen,Jemen
jordanien,Jordanien
kambodscha,Kambodscha
kanada,Kanada
kasachstan,Kasachstan
kenia,Kenia
kirgisistan,Kirgisistan
kiribati,Kiribati
kolumbien,Kolumbien
kongo,Kongo
kroatien,Kroatien
kuba,Kuba
kuba-nordamerika,Kuba
kuweit,Kuweit
laos,Laos
lesotho,Lesotho
lettland,Lettland
libanon,Libanon
liberien,Liberien
libyen,Libyen
liechtenstein,Liechtenstein
litauen,Litauen
luxemburg,Luxemburg
macau,Macau
madagaskar,Madagaskar
malawi,Malawi
malaysien,Malaysien
malediven,Malediven
mali,Mali
malta,Malta
marokko,Marokko
marshallinseln,Marshallinseln
maurithanien,Maurithanien
mauritius,Mauritius
mazedonien,Mazedonien
mexiko,Mexiko
moldavien,Moldavien
monaco,Monaco
mongolei,Mongolei
montenegro,Montenegro
montserrat,Montserrat
mosambique,Mosambique
myanmar,Myanmar
namibia,Namibia
naru,Naru
nepal,Nepal
neu-kaledonien,"Neu Kaledonien"
neuseeland,Neuseeland
nicaragua,Nicaragua
niederlandeholland,Niederlande/Holland
niger,Niger
nigeria,Nigeria
niue,Niue
nordamerika,Nordamerika
nordkorea,Nordkorea
norfolk-inseln,"Norfolk Inseln"
norwegen,Norwegen
oman,Oman
oesterreich,Österreich
ozeanien,Ozeanien
pakistan,Pakistan
palaestina,Palästina
palau,Palau
panama,Panama
papua-neuguinea,Papua-Neuguinea
paraguay,Paraguay
peru,Peru
phillipinien,Phillipinien
pitcairninseln,Pitcairninseln
polen,Polen
portugal,Portugal
puerto-rico,"Puerto Rico"
qatar,Qatar
rep-kongo,"Rep. Kongo"
ruanda,Ruanda
rumaenien,Rumänien
russland,Russland
saint-helena,"Saint Helena"
saint-kitts-und-nevis,"Saint Kitts und Nevis"
saint-lucia,"Saint Lucia"
saint-pierre-und-miquelon,"Saint Pierre und Miquelon"
saint-vincent-und-grenada,"Saint Vincent und Grenada"
samoa,Samoa
san-marino,"San Marino"
sao-tome-und-principe,"Sao Tome und Principe"
saudi-arabien,"Saudi Arabien"
schweden,Schweden
schweiz,Schweiz
senegal,Senegal
serbien,Serbien
seychellen,Seychellen
sierra-leone,"Sierra Leone"
singapur,Singapur
solvakei,Slovakei
slovenien,Slovenien
solomoninseln,Solomoninseln
spanien,Spanien
sri-lanka,"Sri Lanka"
sued-korea,"Süd Korea"
suedafrika,Südafrika
suedamerika,Südamerika
sudan,Sudan
suriname,Suriname
swaziland,Swaziland
syrien,Syrien
tadschikistan,Tadschikistan
taiwan,Taiwan
tansania,Tansania
thailand,Thailand
togo,Togo
tokelau,Tokelau
tonga,Tonga
trinidad-und-tobago,"Trinidad und Tobago"
tschad,Tschad
tschechische-republik,"Tschechische Republik"
tschibuti,Tschibuti
tunesien,Tunesien
tuerkei,Türkei
turkmenistan,Turkmenistan
turks-und-caicos-inseln,"Turks und Caicos Inseln"
tuvalu,Tuvalu
uganda,Uganda
ukraine,Ukraine
ungarn,Ungarn
uruguay,Uruguay
usa,USA
usbekistan,Usbekistan
vanuatu,Vanuatu
vatikan,Vatikan
venezuela,Venezuela
vereinigte-arabische-emirate-vae,"Vereinigte Arabische Emirate (VAE)"
vietnam,Vietnam
weihnachtsinseln,Weihnachtsinseln
zambia,Zambia
zentralafrika,Zentralafrika
zentralamerika,Zentralamerika
zimbabwe,Zimbabwe
zypern,Zypern
