belize,Belize
bv-islands,British Virgin Islands
cayman-islands,Cayman Islands 
commonwealth-of-dominic,Dominica
deutschland,Great Britain
finnland,Finland
frankreich,France
grossbritannien,Great Britain
hongkong,Hong Kong
indien,India
irland,Ireland
israel,Israel
kanada,Canada
niederlande,Netherlands
nord-zypern,Northern Cyprus
panama,Panama
rumaenien,Romania
russland,Russia
san-marino,San Marino
schweden,Sweden
schweiz,Switzerland
seychellen,Seychelles
tschechien,Czeck Republic
usa,USA
zypern,Cyprus
