slug,name
belize,Белиз
bv-islands,Британские Виргинские острова
cayman-islands,Кайманские острова
commonwealth-of-dominic,Доминика
deutschland,Германия
finnland,Финляндия
frankreich,Франция
grossbritannien,Великобритания
hongkong,Гонконг
indien,Индия
irland,Ирландия
israel,Израиль
kanada,Канада
niederlande,Нидерланды
nord-zypern,Северный Кипр
panama,Панама
rumaenien,Румыния
russland,Россия
san-marino,Сан-Марино
schweden,Швеция
schweiz,Швейцария
seychellen,Сейшельские острова
tschechien,Чешская Республика
usa,США
zypern,Кипр
