slug,name
afganistan,Афганистан
afrika,Африка
aegypten,Египет
albanien,Албания
algerien,Алжир
andorra-europa,Андорра
angola,Ангола
anguilla,Ангилья
antigua-und-barbuda,Антигуа и Барбуда
aequatorial-guinea,Экваториальная Гвинея
argentinien,Аргентина
armenien,Армения
aruba,Аруба
aserbaidschan,Азербайджан
asien,Азия
aethiopien,Эфиопия
australien,Австралия
bahamas,Багамы
bahrain,Бахрейн
bangladesh,Бангладеш
barbados,Барбадос
belarus,Беларусь
belgien,Бельгия
belize,Белиз
benin,Бенин
bermuda,Бермудские острова
bolivien,Боливия
bosnien,Босния
botswana,Ботсвана
brasilien,Бразилия
britische-jungferninseln,Британские Виргинские острова
brunei,Бруней
buhtan,Бутан
bulgrarien,Болгария
burkina-faso,Буркина-Фасо
burundi,Бурунди
cameroon,Камерун
cap-verde,Кабо-Верде
cayman-inseln,Каймановы острова
chile,Чили
china,Китай
comoros,Коморские острова
cook-inseln,Острова Кука
costa-rica,Коста-Рика
cote-divoire,Кот-д’Ивуар
daenemark,Дания
deutschland,Германия
dominikanische-republik,Доминиканская Республика
ecuador,Эквадор
el-salvador,Эль Сальвадор
eritrea,Эритрея
estland,Эстония
europa,Европа
falkland-inseln,Фолклендские острова
faroer-inseln,Фарерские острова
fiji-inseln,Острова Фиджи
finnland,Финляндия
frankreich,Франция
gabon,Габон
gerorgien,Грузия
ghana,Гана
gibraltar,Гибралтар
grenada,Гренада
griechenland,Греция
groenland,Гренландия
grossbritannien,Великобритания
guadeloupe,Гваделупа
guam,Гуам
guatemala,Гватемала
guinea,Гвинея
guyana,Гайана
haiti,Гаити
honduras,Гондурас
hong-kong,Гонконг
indien,Индия
indonesien,Индонезия
irak,Ирак
iran,Иран
irland,Ирландия
island,Исландия
israel,Израиль
italien,Италия
jamaika,Ямайка
japan,Япония
jemen,Йемен
jordanien,Иордания
kambodscha,Камбоджа
kanada,Канада
kasachstan,Казахстан
kenia,Кения
kirgisistan,Киргизия
kiribati,Кирибати
kolumbien,Колумбия
kongo,Конго
kroatien,Хорватия
kuba,Куба
kuba-nordamerika,Куба
kuweit,Кувейт
laos,Лаос
lesotho,Лесото
lettland,Латвия
libanon,Ливан
liberien,Либерия
libyen,Ливия
liechtenstein,Лихтенштейн
litauen,Литва
luxemburg,Люксембург
macau,Макао
madagaskar,Мадагаскар
malawi,Малави
malaysien,Малайзия
malediven,Мальдивы
mali,Мали
malta,Мальта
marokko,Марокко
marshallinseln,Маршалловы острова
maurithanien,Мавритания
mauritius,Маврикий
mazedonien,Македония
mexiko,Мексика
moldavien,Молдавия
monaco,Монако
mongolei,Монголия
montenegro,Монтенегро
montserrat,Монтсеррат
mosambique,Мозамбик
myanmar,Мьянма
namibia,Намибия
naru,Нара
nepal,Непал
neu-kaledonien,Новая Каледония
neuseeland,Новая Зеландия
nicaragua,Никарагуа
niederlandeholland,Нидерланды/Голландия
niger,Нигер
nigeria,Нигерия
niue,Ниуэ
nordamerika,Северная Америка
nordkorea,Северная Корея
norfolk-inseln,Норфолкские острова
norwegen,Норвегия
oman,Оман
oesterreich,Австрия
ozeanien,Океания
pakistan,Пакистан
palaestina,Палестина
palau,Палау
panama,Панама
papua-neuguinea,Папуа Новая Гвинея
paraguay,Парагвай
peru,Перу
phillipinien,Филиппины
pitcairninseln,Острова Питкэрн
polen,Польша
portugal,Португалия
puerto-rico,Пуэрто-Рико
qatar,Катар
rep-kongo,Республика Конго
ruanda,Руанда
rumaenien,Румыния
russland,Россия
saint-helena,Остров Святой Елены
saint-kitts-und-nevis,Сент-Китс и Невис
saint-lucia,Санкт-Люсия
saint-pierre-und-miquelon,Сен-Пьер и Микелон
saint-vincent-und-grenada,Сент-Винсент и Гренада
samoa,Самоа
san-marino,Сан-Марино
sao-tome-und-principe,Сан-Томе и Принсипи
saudi-arabien,Саудовская Аравия
schweden,Швеция
schweiz,Швейцария
senegal,Сенегал
serbien,Сербия
seychellen,Сейшельские острова
sierra-leone,Сьерра-Леоне
singapur,Сингапур
solvakei,Словакия
slovenien,Словения
solomoninseln,Соломоновы острова
spanien,Испания
sri-lanka,Шри-Ланка
sued-korea,Южная Корея
suedafrika,Южная Африка
suedamerika,Южная Америка
sudan,Судан
suriname,Суринам
swaziland,Свазиленд
syrien,Сирия
tadschikistan,Таджикистан
taiwan,Тайвань
tansania,Танзания
thailand,Таиланд
togo,Того
tokelau,Токелау
tonga,Тонга
trinidad-und-tobago,Тринидад и Тобаго
tschad,Чад
tschechische-republik,Чешская Республика
tschibuti,Джибути
tunesien,Тунис
tuerkei,Турция
turkmenistan,Туркменистан
turks-und-caicos-inseln,Острова Теркс и Кайкос
tuvalu,Тувалу
uganda,Уганда
ukraine,Украина
ungarn,Венгрия
uruguay,Уругвай
usa,США
usbekistan,Узбекистан
vanuatu,Вануату
vatikan,Ватикан
venezuela,Венесуэла
vereinigte-arabische-emirate-vae,Объединенные Арабские Эмираты (ОАЭ)
vietnam,Вьетнам
weihnachtsinseln,Остров Рождества
zambia,Замбия
zentralafrika,Центральная Африка
zentralamerika,Центральная Америка
zimbabwe,Зимбабве
zypern,Кипр
